id	phase	trips	tag	weight	event_text	left_text	left_result	left_tempo	left_engine	left_visibility	left_load	right_text	right_result	right_tempo	right_engine	right_visibility	right_load
road_snow_markers	Any	1,2,3	Snow	12	Метель занесла дорожные вешки, обозначающие трассу.	Остановиться и найти вешки	Колея найдена, но машина успела остыть.	-14	-8	+14	0	Держать направление по памяти	Грузовик сохраняет ход, ориентиры исчезают в снегу.	+14	+8	-14	0
engine_power_loss	Any	1,2,3	Engine	12	На морозе двигатель начал терять тягу.	Добавить газ	Обороты возвращают тягу и быстро нагревают двигатель.	+14	+22	0	0	Остановиться для прогрева	Мотор прогрет, время потеряно.	-14	+14	+8	0
ice_ridge	Any	1,2,3	Ice	10	Поперёк колеи поднялся ледяной гребень.	Перейти на малую скорость	Грузовик медленно переваливает через неровность.	-14	+8	0	0	Искать объезд	Машина уходит с колеи на менее заметный участок.	-8	-8	-14	0
headlight_whiteout	Any	1,2,3	Visibility	12	Снег отражает свет фар и скрывает колею.	Включить полный свет	Колея проявляется в ярком свете.	+8	+8	+22	0	Приглушить свет	Блики исчезают, но дорогу почти не видно.	-8	-8	-22	0
fresh_ice_crack	Any	2,3	Ice	8	Рядом с колеёй появилась свежая трещина.	Остановиться и поставить знак	Опасное место обозначено для следующих водителей.	-22	-14	+8	0	Запомнить место и сообщить на посту	Рейс продолжается, сведения передадут дорожной службе.	+14	+8	-8	0
air_alarm	Any	2,3	Alarm	6	С поста передали сигнал воздушной тревоги.	Продолжать без остановки	Грузовик сохраняет темп, оставаясь заметным на трассе.	+22	+14	+8	0	Погасить свет и переждать	Машина остаётся в темноте и быстро остывает.	-22	-14	-22	0
deep_snow	Any	1,2,3	Snow	10	Колёса вязнут в нанесённом на трассу снегу.	Расчистить путь лопатой	Проход расчищен, двигатель остыл за время остановки.	-22	-14	+8	0	Пробиваться на пониженной передаче	Машина выходит из снега на высоких оборотах.	+8	+22	-8	0
warming_point	Any	1,2,3	Engine	10	Впереди пункт обогрева, но машина ещё держит ход.	Проехать без остановки	Время сохранено, холод продолжает забирать тепло.	+14	-14	-8	0	Сделать короткую остановку	Мотор и водитель готовы продолжать путь.	-14	+14	+8	0
cargo_fastening	ToCity	1,2,3	Load	12	Крепления груза ослабли на неровном льду.	Переложить груз и затянуть ремни	Ящики снова закреплены в кузове.	-14	-8	+8	0	Продолжать движение	Часть груза повреждена и больше не пригодна к доставке.	+14	+8	0	-14
disabled_truck_supplies	ToCity	1,2,3	Load	8	У неисправной машины остаётся часть продовольствия.	Отметить место и сообщить на посту	Ремонтная служба получила координаты машины.	+14	-8	-8	0	Принять груз в свой кузов	Продовольствие сохранено, нагрузка заметно выросла.	-14	+8	+8	+22
road_crew_lighting	ToCity	2,3	Visibility	8	Ремонтная бригада просит осветить повреждённый участок.	Остановиться и включить фары	Бригада заканчивает работу при свете машины.	-14	-8	+22	0	Передать координаты на пост	Запрос принят, грузовик продолжает путь в темноте.	+8	+8	-14	0
extra_flour_sled	ToCity	2,3	Load	6	На складе предлагают прицепить сани с дополнительной мукой.	Оставить обычную загрузку	Машина выходит на трассу без дополнительного веса.	+8	-8	0	0	Взять сани на буксир	Груза стало больше, двигатель работает под высокой нагрузкой.	-14	+22	0	+22
torn_tarpaulin	ToCity	1,2,3	Snow	10	Ветер сорвал край брезента над грузом.	Остановиться и закрепить брезент	Груз снова защищён от снега.	-14	-8	+8	0	Дотянуть до ближайшего укрытия	Ход сохранён, но часть груза пострадала от снега.	+14	+8	-8	-14
urgent_medicine	ToCity	2,3	Load	8	На перегрузочном пункте подготовили ящики с медикаментами.	Сохранить текущую загрузку	Ящики передадут следующей назначенной машине.	+8	-8	0	0	Принять срочный груз	Медикаменты размещены в уже загруженном кузове.	-8	+14	0	+14
extra_family	FromCity	2,3	Load	6	Перед отправлением просят взять ещё одну семью.	Сохранить норму загрузки	Диспетчер назначает семье место в следующей машине.	+8	-8	0	0	Разместить семью в кузове	Для людей находится место, но нагрузка становится опаснее.	-8	+14	0	+22
evacuee_group_delayed	FromCity	1,2,3	Load	10	Из-за метели часть группы ещё не добралась до эвакопункта.	Дождаться всей группы	Люди успели к отправлению, но машина вышла позже.	-14	-8	+8	+14	Выйти по расписанию	Оставшихся назначили на следующий рейс.	+14	+8	-8	-14
passenger_cold	FromCity	1,2,3	Snow	10	В кузове становится слишком холодно.	Продолжать до берега	Двигатель держит тепло, машина быстрее приближается к посту.	+14	+14	-8	0	Остановиться у пункта обогрева	Люди согрелись, но двигатель остыл за время остановки.	-22	-8	+14	0
medical_help	FromCity	3	Engine	6	Одному из пассажиров требуется медицинская помощь.	Свернуть к медицинскому пункту	Медики приняли пассажира, двигатель остыл за время остановки.	-22	-8	+14	0	Ехать к бригаде на берегу	Машина спешит к подготовленной медицинской бригаде.	+22	+14	-8	0
windshield_ice	FromCity	1,2,3	Visibility	12	Изнутри обмерзает ветровое стекло.	Продолжать по дорожным вешкам	Машина держит ход при ограниченном обзоре.	+8	+8	-14	0	Остановиться и очистить стекло	Обзор восстановлен, двигатель успел остыть.	-14	-8	+22	0
snow_on_body	FromCity	1,2,3	Snow	10	На бортах и тенте быстро нарастает тяжёлый снег.	Остановиться и очистить кузов	Лишний вес снят, но машина потеряла время и тепло.	-14	-8	+8	-14	Продолжать движение	Снег остаётся на кузове и увеличивает нагрузку.	+14	+8	-8	+14
shifted_route_sign	Any	1,2,3	Visibility	9	У поста новая стрелка уводит в сторону, хотя старая колея идёт прямо.	Повернуть по новой стрелке	Разведанный объезд оказался длиннее, но вешки на нём видны отчётливо.	-14	+8	+14	0	Остаться в старой колее	Знакомая колея экономит время, но быстро теряется среди заносов.	+14	0	-14	0
ice_survey_pause	Any	2,3	Ice	8	Ледомер поднял красный флаг: проверка участка впереди ещё не закончена.	Ждать разрешения на проезд	Толщину льда проверили, но машина остыла за время остановки.	-22	-14	+8	0	Уйти на отмеченный объезд	Грузовик обходит пост по неровному льду, не теряя много времени.	+8	+14	-14	0
radiator_cover_loose	Any	1,2,3	Engine	10	Ветер сорвал край утепляющего чехла с радиатора.	Остановиться и закрепить чехол	Чехол снова держит тепло, а заодно водитель сверился с вешками.	-14	+14	+8	0	Снять чехол и ехать дальше	Ничто не мешает ходу, но мороз быстро выстужает двигатель.	+14	-22	-8	0
wiper_linkage_broken	Any	1,2,3	Visibility	10	Тяга стеклоочистителя сломалась, снег сразу залепляет стекло.	Остановиться и связать тягу проволокой	Стеклоочиститель снова работает, но мотор успел остыть.	-14	-8	+22	0	Держаться вешек без стеклоочистителя	Машина сохраняет ход, пока обзор становится всё уже.	+14	+8	-14	0
hooded_signal_lamp	Any	2,3	Alarm	7	У регулировочного поста мигает неисправный фонарь под светомаскировочным колпаком.	Сообщить дежурному и дождаться сигнала	Пост исправил фонарь и точно указал путь, но остановка отняла тепло.	-14	-8	+14	0	Проехать мимо в темноте	Грузовик не задерживается у поста, полагаясь на едва заметную колею.	+14	+8	-14	0
tow_stuck_truck	Any	2,3	Engine	7	У края трассы застрял грузовик; его экипаж просит стянуть машину обратно в колею.	Взять машину на короткий буксир	Обе машины вернулись на трассу, но двигатель работал на пределе.	-22	+22	-8	+14	Оставить экипажу трос и запасную канистру	Своё время сохранено, но часть снаряжения остаётся у застрявшей машины.	+14	-8	+8	-14
false_track_in_snow	Any	1,2,3	Snow	9	В стороне от вешек показалась чистая колея, которую почти не занесло снегом.	Расчищать путь вдоль вешек	Правильная трасса найдена, но мотор долго тянул машину через снег.	-22	+14	+14	0	Свернуть на чистую колею	Старая колея позволяет разогнаться, а затем уходит в темноту.	+14	-8	-22	0
snowed_shore_ramp	Any	1,2,3	Ice	8	Береговой съезд занесён, рядом виден узкий боковой подъём без вешек.	Ждать, пока расчистят основной съезд	Основной путь снова открыт, но грузовик потерял время и остыл.	-22	-14	+8	0	Подниматься по боковому склону	Машина быстро выходит на берег, двигатель и груз испытывают лишнюю нагрузку.	+14	+14	-14	+8
road_repair_timber	ToCity	1,2,3	Ice	8	У дорожной бригады закончились доски для настила над растущей трещиной.	Отдать доски от упаковки груза	Трещину перекрыли, но часть груза пришлось распаковать и оставить.	-14	-8	+14	-14	Сохранить груз для города	Доставка продолжается по графику, повреждённый участок остаётся плохо заметным.	+14	+8	-14	0
torn_flour_sacks	ToCity	1,2,3	Load	10	Несколько мешков с мукой разошлись по швам на тряске.	Остановиться и перешить мешки	Муку удалось сохранить, но ремонт отнял время и тепло.	-22	-8	+8	+14	Взять только целые мешки	Грузовик сохраняет ход, оставляя повреждённую часть груза на посту.	+14	+8	-8	-22
generator_spare	ToCity	2,3	Load	7	На складе просят срочно доставить в город тяжёлую деталь больничного генератора.	Освободить для детали место в кузове	Груз уложен безопасно, но перегрузка заняла время и часть припасов сняли.	-14	-8	+8	0	Закрепить деталь поверх груза	Срочная деталь едет в город без задержки, опасно увеличивая нагрузку.	+8	+22	+8	+22
warming_post_fuel	ToCity	1,2,3	Engine	8	На пункте обогрева заканчивается топливо, а впереди ожидают следующую смену водителей.	Оставить одну канистру	Пункт продолжит работу, но у машины стало меньше запаса и груз уменьшился.	-8	-14	+8	-14	Сохранить топливо в кузове	Собственный двигатель держит тепло, зато пост остаётся в темноте позади.	+8	+14	-8	+8
fresh_bread_batch	ToCity	1,2,3	Load	9	На погрузочном пункте скоро будет готова новая партия хлеба, но машина уже загружена не полностью.	Дождаться полной загрузки	Хлеб погружен до нормы, машина потеряла время и успела остыть.	-22	-8	+8	+22	Выйти с готовым грузом	Рейс начинается вовремя, но в город прибудет заметно меньше хлеба.	+14	+8	-8	-22
loose_blackout_covers	ToCity	2,3	Alarm	8	На ухабах разошлись светомаскировочные чехлы на фарах.	Закрепить узкие световые щели	Свет снова укрыт, но остановка и тусклые фары замедляют путь.	-14	-8	-14	0	Оставить фары как есть до берега	Яркий свет помогает держать темп, одновременно выдавая машину на льду.	+14	+8	+22	0
separated_child	FromCity	1,2,3	Load	7	Перед отправлением выяснилось, что ребёнок из одной семьи ещё не добрался до машины.	Ждать и помочь с поиском	Семья собралась вместе, но грузовик вышел на трассу значительно позже.	-22	-14	+8	+14	Направить семью в тёплый пункт и выехать	Семья дождётся следующей машины вместе, нынешний рейс уходит по графику.	+14	+8	-8	-22
bundles_block_aisle	FromCity	1,2,3	Load	9	Узлы с личными вещами заняли проход между скамьями в кузове.	Перевязать узлы снаружи кузова	Проход освобождён, но внешний груз добавил машине веса и заметности.	-14	+8	+8	+14	Оставить часть вещей на эвакопункте	Люди разместились безопаснее, а машина стала легче и быстрее.	+8	-8	0	-14
frostbitten_passenger	FromCity	1,2,3	Engine	8	У одного из пассажиров появились признаки сильного обморожения.	Свернуть к полевому медицинскому посту	Пассажира передали медикам, но остановка отняла время и тепло.	-22	-8	+14	-8	Укутать его запасными одеялами и ехать к берегу	Кузов сохраняет тепло, машина спешит к береговой бригаде.	+14	+14	-8	0
loose_passenger_bench	FromCity	1,2,3	Load	9	Крепление одной из скамей в кузове разболталось на ледяных гребнях.	Остановиться и переставить пассажиров	Людей разместили устойчиво, но грузовик потерял ход и тепло.	-14	-8	+8	+14	Усадить взрослых на пол кузова	Остановка не нужна, зато в кузове стало теснее и тяжелее.	+8	+8	-8	-14
returning_road_workers	FromCity	2,3	Load	7	Двое ледовых разведчиков закончили смену и просят довезти их вместе с приборами.	Взять людей и всё снаряжение	Разведчики едут на берег, но дополнительный вес нагружает двигатель.	-8	+14	+8	+22	Взять журнал замеров, людей оставить на посту	Свежие сведения доставят быстро, смена дождётся служебной машины.	+14	-8	+14	-8
light_leak_in_body	FromCity	1,2,3	Alarm	8	Сквозь щель в тенте виден свет ручного фонаря в кузове.	Погасить фонарь до конца пути	Машина меньше заметна, но внутри темно и холод быстро усиливается.	+8	-8	-22	0	Закрыть щель запасным одеялом	Пассажиры сохраняют свет, остановка и отданное одеяло уменьшают запас.	-14	+8	+14	-8
